Data,Valor
2021-12-02,68.99
2021-12-03,64
2021-12-04,68.99
2021-12-05,64
2021-12-06,59.99
2021-12-13,64
2021-12-20,59.99
2021-12-27,64
2021-12-31,71.99
2022-01-03,59.99
2022-01-10,71.99
2022-01-17,62.99
2022-01-24,71.99
2022-01-31,71
2022-01-31,64.99
2022-02-07,71.99
2022-02-15,64.99
2022-02-21,71.99
2022-02-23,73.99
2022-02-28,73
2022-02-28,64.99
2022-03-07,73.99
2022-03-14,64.99
2022-03-21,73.99
2022-03-28,64.99
2022-04-04,73.99
2022-04-11,64.99
2022-04-18,68.99
2022-04-25,62.99
2022-05-02,69.99
2022-05-03,68.99
2022-05-09,62.99
2022-05-12,61.99
2022-05-16,62.99
2022-05-16,68.99
2022-05-18,66.99
2022-05-23,62.99
2022-05-31,68.99
2022-06-06,59.99
2022-06-13,65.99
2022-06-17,62.98
2022-06-20,57.99
2022-06-27,65.99
2022-07-05,56.99
2022-07-11,49.99
2022-07-13,67.96
2022-07-13,49.99
2022-07-13,67.96
2022-07-13,49.99
2022-07-13,67.96
2022-07-13,74.99
2022-07-14,74.94
2022-07-14,74.89
2022-07-14,49.99
2022-07-14,71.04
2022-07-14,70.95
2022-07-14,70.86
2022-07-14,66.77
2022-07-14,49.99
2022-07-14,71.71
2022-07-14,49.99
2022-07-19,54.99
2022-07-25,63.66
2022-07-27,49.99
2022-07-27,63.66
2022-08-01,54.99
2022-08-07,53
2022-08-08,61.99
2022-08-10,56.99
2022-08-15,52.9
2022-08-22,56.99
2022-08-29,52.99
2022-09-06,56.99
2022-09-12,52.99
2022-09-19,56.99
2022-09-21,58.99
2022-09-26,62.94
2022-09-26,59.94
2022-09-27,49.99
2022-10-03,56.99
2022-10-10,49.99
2022-10-17,56.99
2022-10-22,46
2022-10-22,56.99
2022-10-23,46
2022-10-25,44
2022-10-26,52.99
2022-10-27,44
2022-10-27,52.99
2022-10-27,44
2022-10-28,52.99
2022-10-31,44
2022-10-31,52.99
2022-11-01,56.99
2022-11-01,44
2022-11-01,56.99
2022-11-03,44
2022-11-03,56.99
2022-11-07,52.99
2022-11-15,56.99
2022-11-17,49.99
2022-11-18,44
2022-11-27,63.66
2022-11-28,46.99
2022-11-28,63.66
2022-12-02,57.99
2022-12-02,54.99
2022-12-05,48.99
2022-12-07,44
2022-12-12,57.99
2022-12-12,54.99
2022-12-19,48.99
2022-12-23,63.66
2022-12-23,48.99
2022-12-24,63.66
2022-12-24,48.99
2022-12-26,52.99
2023-01-02,47.99
2023-01-09,52.99
2023-01-10,47.99
2023-01-16,44.99
2023-01-23,47.99
2023-01-27,50.99
2023-01-27,47.99
2023-01-29,52.99
2023-01-30,44.99
2023-01-31,49.99
2023-02-02,52.99
2023-02-02,44.99
2023-02-21,45.99
2023-02-27,42.99
2023-03-06,45.99
2023-03-14,39.99
2023-03-20,39.98
2023-03-20,44.99
2023-03-23,44.98
2023-03-27,39.99
2023-03-30,39.98
2023-04-01,44.99
2023-04-01,49.94
2023-04-02,39.99
2023-04-03,44.99
2023-04-03,44.98
2023-04-06,44.99
2023-04-10,40.99
2023-04-10,39.99
2023-04-17,44.99
2023-04-19,44.97
2023-04-24,39.99
2023-04-24,37.99
2023-05-01,42.99
2023-05-01,44.97
2023-05-04,33.43
2023-05-04,44.97
2023-05-08,37.99
2023-05-15,42.99
2023-05-15,44.97
2023-05-22,38.99
2023-05-30,43.99
2023-05-30,44.99
2023-05-31,44.97
2023-06-05,38.99
2023-06-26,39.99
2023-07-10,38.99
2023-07-11,37.99
2023-07-17,39.99
2023-07-31,38.99
2023-08-17,29.99
2023-08-17,38.99
2023-08-21,44.99
2023-08-24,38.99
2023-09-19,44.99
2023-09-20,42.99
2023-09-20,39.99
2023-09-22,38.99
2023-09-24,39.99
2023-09-25,44.99
2023-09-27,38.99
2023-09-27,39.99
2023-09-28,44.99
2023-09-28,38.99
2023-10-03,44.99
2023-10-03,38.99
2023-10-10,37.99
2023-10-13,35.99
2023-10-16,30.99
2023-10-17,38.99
2023-10-17,30.99
2023-10-17,38.99
2023-10-18,39.99
2023-10-20,38.99
2023-10-20,39.99
2023-10-21,38.99
2023-10-21,39.99
2023-10-21,38.99
2023-10-21,39.99
2023-10-23,38.99
2023-10-23,39.99
2023-10-26,32.15
2023-10-26,39.99
2023-11-06,38.99
2023-11-07,39.99
2023-11-07,38.99
2023-11-07,39.99
2023-11-09,38.99
2023-11-09,39.99
2023-12-07,40.99
2023-12-24,39.99
2024-01-01,38.99
2024-01-08,40.99
2024-01-08,38.99
2024-01-13,44.99
2024-01-15,38.99
2024-01-22,43.99
2024-01-22,44.99
2024-01-29,39.99
2024-02-05,44.99
2024-02-12,39.99
2024-02-20,44.99
2024-02-26,39.99
2024-03-04,44.99
2024-03-05,39.99
2024-03-08,44.99
2024-03-08,39.99
2024-03-18,44.99
2024-03-19,39.99
2024-03-20,44.99
2024-03-23,39.99
2024-03-27,38.99
2024-03-30,39.99
2024-03-30,38.99
2024-04-03,44.99
2024-04-05,38.99
2024-04-08,39.99
2024-04-16,44.99
2024-04-22,39.99
2024-04-23,38.99
2024-04-26,39.99
2024-04-30,38.99
2024-04-30,39.99
2024-05-01,43.99
2024-05-02,44.99
2024-05-04,38.99
2024-05-05,44.99
2024-05-06,39.99
2024-05-10,29.99
2024-05-10,39.99
2024-05-14,44.99
2024-05-17,39.99
2024-05-17,44.99
2024-05-20,38.99
2024-05-28,39.99
2024-05-30,44.99
2024-06-03,38.99
2024-06-11,39.99
2024-06-17,38.99
2024-06-25,39.99
2024-06-25,44.99
2024-06-26,39.99
2024-06-26,44.99
2024-06-27,39.99
2024-07-01,37.99
2024-07-08,39.99
2024-07-11,44.99
2024-07-11,39.99
2024-07-11,44.99
2024-07-14,39.99
2024-07-14,44.99
2024-07-15,39.99
2024-07-16,37.99
2024-07-16,35.99
2024-07-22,39.99
2024-07-23,44.99
2024-07-23,39.99
2024-07-24,44.99
2024-07-24,39.99
2024-07-24,44.99
2024-07-29,35.99
2024-08-05,39.99
2024-08-06,35.99
2024-08-11,39.99
2024-08-12,35.99
2024-08-23,39.99
2024-09-12,35.99
2024-09-12,39.99
2024-09-13,35.99
2024-09-13,39.99
2024-10-05,35.99
2024-10-05,39.99
2024-10-08,34.99
2024-10-09,32.99
2024-10-10,37.99
2024-10-11,32.99
2024-10-20,31
2024-10-20,32.99
2024-10-22,31
2024-10-22,32.99
2024-10-24,27
2024-10-24,26.5
2024-10-25,31
2024-10-25,32.99
2024-10-27,26.5
2024-10-27,32.99
2024-11-10,31
2024-11-11,32.99
2024-11-14,31
2024-11-15,32.99
2024-11-21,30.99
2024-11-24,29.99
2024-11-24,30.88
2024-12-03,30.99
2024-12-04,32.99
2024-12-20,36.99
2024-12-21,32.99
2024-12-22,36.99
2024-12-23,38.53
2024-12-23,43.61
2024-12-23,32.99
2024-12-24,36.99
2024-12-26,32.99
2024-12-27,36.99
2024-12-29,32.99
2024-12-31,36.99
2025-01-02,32.99
2025-01-31,34.98
2025-02-09,35.99
2025-02-10,36.99
2025-02-28,29.99
2025-03-02,36.99
2025-03-11,36.39
2025-03-14,36.99
2025-03-16,36.39
2025-03-18,33.89
2025-03-21,36.99
2025-03-22,33.89
2025-03-28,36.99
2025-03-29,33.89
2025-04-04,36.99
2025-04-05,33.89
2025-04-09,33.88
2025-04-10,33.89
2025-04-11,36.99
2025-04-20,36.25
2025-04-20,37.99
2025-04-20,36.99
2025-04-20,34.89
2025-04-25,34.99
2025-04-26,34.89
2025-05-02,36.99
2025-05-10,34.89
2025-05-12,36.99
2025-05-18,34.89
2025-05-18,36.99
2025-05-19,39.99
2025-05-24,34.89
2025-05-25,39.99
2025-05-27,39.95
2025-05-27,36.99
2025-06-02,34.89
2025-06-03,36.99
2025-06-03,34.89
2025-06-05,36.99
2025-06-06,34.89
2025-06-06,36.99
2025-06-12,36
2025-06-13,36.99
2025-06-18,50.99
2025-06-20,36.99
2025-06-20,50.99
2025-06-23,36.99
2025-06-24,48.95
2025-06-25,36.99
2025-06-26,59
2025-06-26,71.99
2025-06-30,61.19
2025-07-03,54.46
2025-07-04,36.99
2025-07-04,54.46
2025-07-07,49.95
2025-07-08,49.99
2025-07-08,50.04
2025-07-08,50.05
2025-07-08,50.15
2025-07-08,50.21
2025-07-09,50.22
2025-07-09,50.23
2025-07-09,50.24
2025-07-09,50.25
2025-07-09,50.29
2025-07-09,50.32
2025-07-09,50.35
2025-07-09,50.5
2025-07-09,50.72
2025-07-09,50.67
2025-07-09,50.7
2025-07-09,50.75
2025-07-09,50.77
2025-07-09,50.8
2025-07-09,50.86
2025-07-09,50.91
2025-07-10,50.89
2025-07-10,50.9
2025-07-10,50.94
2025-07-10,50.81
2025-07-10,50.83
2025-07-10,50.88
2025-07-10,50.94
2025-07-10,50.95
2025-07-10,51.01
2025-07-10,51.02
2025-07-10,71.99
2025-07-14,66.23
2025-07-15,43.99
2025-07-21,45.99
2025-08-04,49.99
2025-08-11,47.99
2025-08-25,71.99
2025-08-25,47.99
2025-09-15,71.99
2025-09-15,51.83
2025-09-15,47.99
2025-09-21,71.99
2025-10-21,34.89
2025-10-21,71.99
2025-10-31,79.99
2025-11-03,61.19
2025-11-04,79.99
2025-11-04,79.99
2025-11-05,79.99
2025-11-05,79.99
2025-11-05,79.99
